host_type,kpi,min_data,max_data,interval,is_flat
dcos_docker,container_session_used,1372,1380,1min,True
dcos_docker,container_fgct,1372,1380,1min,True
dcos_docker,container_cpu_used,1372,1380,1min,False
dcos_docker,container_thread_idle,1372,1380,1min,True
dcos_docker,container_thread_running,1372,1380,1min,True
dcos_docker,container_thread_total,1372,1380,1min,True
dcos_docker,container_fgc,1372,1380,1min,True
dcos_docker,container_thread_used_pct,1372,1380,1min,True
dcos_docker,container_mem_used,1372,1380,1min,False
os_linux,Sent_errors_packets,288,864,5min,True
os_linux,Processor_load_5_min,1439,1440,1min,False
os_linux,Disk_rd_ios,1439,1440,1min,False
os_linux,CPU_util_pct,1433,1439,1min,False
os_linux,Disk_io_util,2507,5753,1min,False
os_linux,Num_of_processes,288,288,5min,False
os_linux,Send_total,1440,1440,1min,False
os_linux,Outgoing_network_traffic,1439,4320,1min,False
os_linux,Memory_available_pct,1433,1439,1min,False
os_linux,Incoming_network_traffic,1439,4320,1min,False
os_linux,Zombie_Process,288,288,5min,False
os_linux,Recv_total,1440,1440,1min,False
os_linux,Page_po,1440,1440,1min,False
os_linux,CPU_idle_pct,1439,1440,1min,False
os_linux,Processor_load_1_min,1439,1440,1min,False
os_linux,Agent_ping,1440,1440,1min,True
os_linux,Num_of_running_processes,288,288,5min,False
os_linux,ss_total,1440,1440,1min,False
os_linux,Processor_load_15_min,1439,1440,1min,False
os_linux,Page_pi,1440,1440,1min,False
os_linux,Disk_avgqu_sz,1439,1440,1min,False
os_linux,Disk_wr_kbs,1439,1440,1min,False
os_linux,Disk_await,1439,1440,1min,False
os_linux,Shared_memory,288,288,5min,False
os_linux,CPU_user_time,1439,1440,1min,False
os_linux,Disk_svctm,1439,1440,1min,False
os_linux,Disk_wr_ios,1439,1440,1min,False
os_linux,Memory_used_pct,1440,1440,1min,False
os_linux,CPU_iowait_time,1439,1440,1min,False
os_linux,System_wait_queue_length,288,288,5min,False
os_linux,CPU_system_time,1439,1440,1min,False
os_linux,Disk_rd_kbs,1439,1440,1min,False
os_linux,Memory_available,1440,1440,1min,False
os_linux,Memory_used,1440,1440,1min,False
os_linux,System_block_queue_length,288,288,5min,False
os_linux,Received_packets,288,864,5min,False
os_linux,Received_errors_packets,288,864,5min,True
os_linux,Memory_free,288,288,5min,False
os_linux,Sent_queue,288,288,5min,False
os_linux,Cache_used,288,288,5min,False
os_linux,Received_queue,288,288,5min,False
os_linux,Buffers_used,288,288,5min,False
os_linux,FS_used_space,288,288,5min,False
os_linux,Sent_packets,288,864,5min,False
os_linux,FS_used_pct,288,288,5min,False
os_linux,FS_total_space,288,288,5min,False
os_linux,FS_max_util,288,288,5min,False
os_linux,ICMP_ping,1440,1440,1min,True
os_linux,FS_max_avail,288,288,5min,False
os_linux,Swap_used_pct,288,288,5min,True
os_linux,Memory_total,24,24,<=30min,False
db_oracle_11g,CPU_free_pct,1440,1440,1min,False
